UserNick,comment_time,content,auctionSku
绿***者,2021/5/10 8:37,首先价格，十块左右，包装很精致，料很足，腐竹超多，粉量的话都说小但我觉得还好，和其他牌子差不多，在来说味道，味道很浓郁但是不是那种螺味儿很重的浓郁，是另一种浓郁，味儿重。李子柒没那么咸臭但是我放很多水依然有味道，总体还是推荐！不说别的，就说这买下来优惠那么多，8包才不到六十的价格，怎么看怎么优惠。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
d***u,2021/5/19 11:17,几乎所有的螺蛳粉牌子都吃过了，还是觉得李子柒的最好吃，也不辣，配料包也很足，味道绝了！就是箱子压的不成形状了,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
s***3,2021/5/20 16:10,薇娅直播间就是实惠呀，李子柒的螺狮粉清淡，美味，适合大众口味✌🏻,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
j***1,2021/5/4 9:29,真的很好吃，味道十足，粉吃饭嘴巴里QQ弹弹的，越吃越香,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
h***0,2021/5/17 16:59,不吃辣没加过辣油，不知道加了辣油会不会比好huan螺好吃一点呢，我个人更喜欢那家的，这个吃着就比较一般，味素味儿太浓，米粉偏细，螺蛳粉的话更习惯嗦粗一些的。优点是花生腐竹酸豆角包量非常足，只看粉的量感觉不多，加了料以后却是满满一碗，干饭人也能吃饱了,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***2,2021/5/15 11:34,看了好几家，最终选择亲家这款，终于买到喜欢的产品了，用了大额优惠券感觉超级实惠，收到货就迫不及待的打开试用，东西确实漂亮，材质也不错，打理起来很方便，物流也挺快的，几天就到了。一个好评略表心意！么么哒。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
余***亓,2021/5/15 10:55,拿回来当天给侄子煮了一包，料挺足的，幸亏是弄成干拌的，要是弄成汤的估计得被撵到门外去吃😂，尝了一口蛮好吃的而且够辣,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
傻***林,2021/5/17 21:41,很喜欢柒家的螺蛳粉，特别好吃，吃螺蛳粉就很喜欢配着酸笋一起吃，但是别的一些牌子的酸笋味道太大了，受不了，不放酸笋又不好吃，柒家的酸笋气味不大，味道也特别好吃，反正就是爱了。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***5,2021/4/29 17:15,收到立🥑马煮了一份🥑同学强烈推荐的🥑果然没让人失望价🥑格很实惠比超市的🥑便宜多了我煮的🥑没有太久螺蛳粉q弹q弹的🥑很有嚼劲贼🥑好吃啦满满的幸福🥑感酸笋很嫩配料🥑也很丰富加点鸡蛋青菜太完美了于常年吃🥑外卖的人来说这实在太方便啦比我🥑这边实体🥑店的要好吃真的很赞哦,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
很***你,2021/5/5 12:05,顺丰快递就是快      第二天就收到了        无数次购买了      超级喜欢吃李子柒家的螺蛳粉       爱了爱了      超级贴心每次买都会有小卡片       没有一次落下     还会继续回购的    👍👍👍👍👍👍,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
桎***i,2021/5/18 0:59,同时买了好欢螺 ，李子柒 ，柳江人家 ，螺霸王 ，嘻螺会双倍辣 。吃了快一个月，好欢螺汤太咸了 ，螺蛳硬，口味太重笋好多老的咬不动，花生也有苦的（其他家基本没有）；李子柒的腐竹多 ，花生新鲜笋嫩就是有点太淡了 ，有点失去螺蛳粉的感觉了；柳江人家口味不咸不淡 ，介于好欢螺和李子柒中间 ，笋嫩，买的所有螺蛳粉里面口感最好，而且还有个注水袋，很用心了，这么多里最喜欢的；螺霸王里面有那个蛋 感觉口感不好 ，粉食胶味太重 ，笋的味道也奇奇怪怪，不太喜欢，不过汤料很香；嘻螺会双倍辣是买这些里面感觉第二好吃的，笋比其他家都嫩，但是没有柳江人家合我胃口，不知道为啥，大家看个人口味买 以上就是资深螺蛳粉尝完让大家避免踩雷的 看个人喜欢啥买啥吧,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***9,2021/5/3 14:58,一直都是购买李子柒的螺蛳粉，超级好吃，量又大。继续支持。推荐推荐推荐,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
辉***筒,2021/5/16 18:09,一直听说李子柒螺蛳粉不错，这一碗下去量足得很，和图片差不多，很实惠，非常好吃！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***6,2021/5/18 1:50,总体来说每个地方人的口味不一样，我是江苏人之前去过广西吃过广西螺蛳粉，李子柒家螺蛳粉就是正宗的广西口味，鲜香，份量也挺足的，辣油是真够辣的，反正我一个人是吃不完顶多吃下去一半，自己在家再加点生菜绝了，以后还会继续回购的,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
苏***6,2021/5/20 22:17,整体评价：食材新鲜，味道跟口感就跟去店里吃的一样,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
薄***去,2021/5/17 17:22,她们家的螺蛳粉腐竹和花生米是分开的，这个细节比较好，我不喜欢吃花生米！腐竹也很大一包！特别喜欢她们的螺蛳粉，希望下次出活动,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
碎***阳,2021/5/17 13:15,汤很好喝，问起来还比较浓郁，配料也挺多的，但是这个价格不太划算，可以在外面吃正宗的了。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
翁***的,2021/5/8 20:43,螺蛳粉收到了，可是里面有一包漏了，赶紧联系客服。客服很耐心的帮我解答。。最后达成协议退一包钱给我。今晚煮吃，好吃回购,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
剑***字,2021/5/16 13:30,汤味鲜美，配料丰富，腐竹实在是太多了！辣椒油非常香，可惜我只能吃一点点辣，总之非常好吃！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***7,2021/5/20 20:36,真是太好吃了，比在实体店的味道好多了。这个味道不是特别臭，我放了辣椒油，女儿的没放，都很好吃😋。会继续购买的，这个值得购买,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***7,2021/5/13 14:40,收到货后就立马打开煮了一包，米粉口感很劲道Q弹，里面的配料也很足，腐竹满满一包非常好吃，还有花生也很脆很香，酸笋木耳都特别爽脆，螺蛳汤的料包很香，辣油也够味，特别好吃会继续回购哒😘,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
她***0,2021/5/20 18:57,薇娅直播间入手挺实惠。箱子被挤瘪了应该不会影响到螺狮粉。还没有吃先收货好评！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
陈***3,2021/5/5 11:58,整体评价：太好吃啦 胀包问题：OK 包装品质：OK 口感味道：完美 新鲜度：够新鲜,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
七***店,2021/5/20 14:38,吃过很多螺蛳粉，酸小辣吃到破产，李子柒不破产一直买，对不吃辣的广东人好吃不辣又鮮，主要不腥，量足,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
鼎***风,2021/5/20 15:20,整体评价：量太少，味道一般，买两包泡面它不香吗？不会再第二次购买。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
猫***猫,2021/5/20 10:24,两年前因为闺蜜对子柒的喜爱开始关注，心情不好的时候看看子柒的视频，就觉得特别解压，虽然躬耕农亩我做不到，但支持子柒美食我可以！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
a***2,2021/5/20 14:35,这量  连半碗都没有   这价位  算了  米粉就一点点  除了辣   算了不想说了 果然抖音推荐没什么好东西坑**,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
橘***9,2021/5/9 22:17,今早煮了，味道很好,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
性***店,2021/5/13 17:43,我老婆的产品就是好！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
s***七,2021/5/12 8:56,李子柒螺蛳粉配上李子柒豆浆 一餐完美搭配 螺蛳粉买了很多次 李子柒了 可以自己加个煎蛋火腿生菜 吃的很饱很满足 螺蛳粉个人觉得是偏清淡口的 不爱吃重口味的可以买这个 爱吃重口的建议考虑别的牌子 不能吃辣的时候这个吃起来就很解馋,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
小***帝,2021/5/20 10:06,螺蛳粉我还真就只买李子柒的 薇娅直播间最划算 每次有活动必囤 基本前脚吃完后脚就有活动了哈哈,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
y***i,2021/5/20 23:54,螺蛳粉七七家是必选呢，今天是520也是刚收到一箱，赶紧拎回家，迫不及待煮起来，平时嫌弃的老公说他今天想尝尝，还要求给他多放辣，那么，两包辣油都给他吧。边吃还边叨叨：嗯，这个不错，这个不错。我都怀疑他是不是从来未吃过如此美味食物？还给他说七七也是个大美女，一直关注她微博，她家东西必须都是好吃的！ 没有图，不用看图，碗里汤都不够喝，就是酱紫的啦😜,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
s***1,2021/5/17 15:02,大品牌值得信赖的，包装很好，无损坏，口感味道不错哦，日期新，买二发八值。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
森***s,2021/5/12 17:07,心心念念好久的螺蛳粉 终于吃到啦 李子柒家的产品包装都是超级好 能看出来很用心 也收到了送的小赠品 都还不错哦 很实用 味道很浓郁了 料也很多 辣油也够辣 就完全没什么缺点 好吃到俘获全家人的心 点个赞,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
每***步,2021/5/20 21:10,物流很快，我平时最喜欢吃螺蛳粉，各种都吃过，这是第一次购买这个品牌的，挺好吃的呢，回味无穷，喜欢吃辣，到时因为一些原因不能吃太辣，刚好她家满足我的需求，吃完回购,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
w***7,2021/5/12 15:25,螺狮粉发货很快，赶活动买价格实惠，比超市便宜好多。包装完整，还是一样的配料。吃过一次就会上瘾的东西，试了几种牌子，还是喜欢柒家的，会继续购买的。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
玻***牛,2021/5/17 21:23,好吃 她是美丽时髦的上海名媛，是复旦大学的首届女生，是外交官夫人&hellip;&hellip;是整个近代史的见证人，也是上海滩最后的大小姐。&nbsp;而这算不得传奇，因为，她的精彩和璀璨，恰是从苦难和离别开始的。&nbsp;一世坎坷，她历尽苦难，也收获了满满的幸福，她经历风雨，却活得更加坚韧。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***9,2021/5/14 8:04,#柒家美照达人#又买了三包螺蛳粉回家放着，囤货不能停啊。依然是熟悉的味道，配上柒家的酱，啧啧啧，真香，这次总算记得备注，店铺送了一个书签，正好是我没有的款，喜欢。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
冰***8,2021/5/19 19:07,特别好吃，没放辣油，孩子也能吃，味道很好，份量也足，一个人还吃不完呢！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
耿***0,2021/5/20 19:38,之前吃过，味道挺好的，一直想再买，正好这次赶上直播做活动，就多买了几包,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
牧***9,2021/5/6 4:01,作为一个螺蛳粉忠实爱好者✋🏻 没什么是螺蛳粉解决不了的！一顿不行就两顿！！ 李子柒家的螺蛳粉配料真的超足！ 酸笋爽脆，而且不会特别臭 口味不太重的朋友可以放心入手啦～ 腐竹和花生是分开包装的，超级贴心了！而且腐竹真的超大一包！！ 👍 我是比较喜欢软糯的粉🥟 所以粉一般会煮的比较久一些 吃起来还是很Q弹劲道！🍜 一口下去太满足了～本嗦粉爱好者根本停不下来！！！ ⚠️温馨提示：不能吃辣的朋友建议少倒点辣油哦！🔥,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
w***9,2021/5/17 22:23,戒不掉的除了咖啡就是李子柒的螺蛳粉，让人上瘾的味道。除了螺蛳粉味道确实不错，客服也很周到贴心。还会回购。五星好评。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
柳***9,2021/5/20 19:31,直播间推荐购买的，对比平常有优惠。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
静***心,2021/4/21 15:47,"CC柒柒家的螺蛳粉承包了我的快乐！⛄,酸笋也很棒﻿☀,快递物流很快哟真的非常好吃里面配菜也非常丰富﻿☀,香味俱全，q弹与脆脆的碰撞。☀,一般人应该都可以接受的！好评哦！煮好后味道闻着就很爽﻿☀,自己动手煮了也很好吃⚡",口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
笪***1,2021/5/20 20:31,划算，以前朋友给了我一袋，挺好吃的，薇娅直播间买的便宜,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
咕***可,2021/5/18 18:04,第二次买店里的螺蛳粉了，包装很好，分量也很足，味道很适合初试者。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
江***0,2021/5/18 12:07,回购过很多次了，还是李子柒姐姐家的螺蛳粉最好吃，味道足，料包多。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***8,2021/5/13 14:43,蛮好吃的，我口味比较清淡绝的挺够味，我舍友重庆人觉得味道有点淡。会回购,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
阳***7,2021/5/10 20:00,拿到手就迫不及待的煮了一包 我口味比较重 相对我来说有点偏淡 但味道也挺好的 蛮适合第一次尝试螺蛳粉的小伙伴哈哈哈因为不臭,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
洁***剧,2021/5/12 20:24,胀包问题：没有发现膨胀，总图可以。 包装品质：包装是挺好的，看起来挺舒服，那个卡更加喜欢😁 口感味道：但是还没吃过，所以不知道怎么评论,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
d***新,2021/5/15 18:36,整体评价：怎么说呢，本来期望值较高的，收到货之后，包装也很好看，但是煮了一包之后发现这个味道真的是很清淡很清淡，然后又很油，没有味道，总体来说这次购物体验不是很好。￼,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
天***6,2021/5/19 13:31,很失望。冲着李子柒的牌子来的，结果吃到的螺蛳粉却差得不止一点点。如果想吃川味倒是可以买来吃。但肯定不是广州螺蛳粉的味道了，哈哈！尤其是花生，千万别吃，极度破坏口感！不会再购。,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***9,2021/5/20 16:26,好吃好吃好吃  粉煮不用太久而且又筋道又滑  配料也足爱了爱了呀,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
此***客,2021/5/15 15:48,李子柒好吃。比别人家的好吃 真是需要尝试才知道自己喜欢什么口味的啊,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
t***2,2021/5/19 14:23,整体评价：口感美味十足！推荐购买！,口味:【鲜辣酸爽烫 】 螺蛳粉335g*3袋
